name        y_n    ratio(x/y)    overlap_level    count    grey_std
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker148.marker_color.txt     1   3.75   0.333333   55   13.0858
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker151.marker_color.txt     1   11.3333   0.348039   105   11.4438
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker25.marker_color.txt     1   1   0.2   12   7.50555
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker26.marker_color.txt     1   1.33333   0.34375   68   14.9676
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker31.marker_color.txt     0   0.214286   0.214286   44   5.4807
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker32.marker_color.txt     1   0.172414   0.172414   85   6.38784
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker33.marker_color.txt     1   1   0.0765306   52   10.9484
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker36.marker_color.txt     0   0.4   0.0375   7   4.14039
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker38.marker_color.txt     1   0.533333   0.345833   89   17.4032
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker67.marker_color.txt     1   2.25   0.319444   69   6.59238
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker68.marker_color.txt     1   8.5   0.558824   43   11.0519
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker69.marker_color.txt     1   1   0.291667   24   8.29702
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker_all_130.marker_color.txt     1   1.125   0.225694   150   10.1248
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker_all_213.marker_color.txt     1   1.27273   0.188312   80   15.7
/media/lxf/8213-B4FE/7_5/take_away/signal_area/1/marker_all_241.marker_color.txt     1   0.466667   0.266667   80   17.1818
/media/lxf/8213-B4FE/7_5/take_away/signal_area/10/marker_all_291.marker_color.txt     1   1.125   0.225694   150   10.1248
/media/lxf/8213-B4FE/7_5/take_away/signal_area/10/marker_all_384.marker_color.txt     1   0.466667   0.266667   80   17.1818
/media/lxf/8213-B4FE/7_5/take_away/signal_area/10/marker_all_389.marker_color.txt     1   0.923077   0.246795   120   15.3765
/media/lxf/8213-B4FE/7_5/take_away/signal_area/10/marker_all_392.marker_color.txt     0   0.8   0.30625   87   12.5354
/media/lxf/8213-B4FE/7_5/take_away/signal_area/11/marker_all_162.marker_color.txt     1   0.642857   0.380952   96   16.1147
/media/lxf/8213-B4FE/7_5/take_away/signal_area/11/marker_all_164.marker_color.txt     1   0.733333   0.184848   88   10.6343
/media/lxf/8213-B4FE/7_5/take_away/signal_area/11/marker_all_324.marker_color.txt     0   0.714286   0.0777778   102   16.5131
/media/lxf/8213-B4FE/7_5/take_away/signal_area/11/marker_all_44.marker_color.txt     1   0.888889   0.375   82   20.7751
/media/lxf/8213-B4FE/7_5/take_away/signal_area/11/marker_all_73.marker_color.txt     1   1.25   0.26875   82   11.4093
/media/lxf/8213-B4FE/7_5/take_away/signal_area/11/marker_all_96.marker_color.txt     1   0.888889   0.5625   124   24.9744
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_107.marker_color.txt     1   1.35714   0.342105   244   11.8375
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_151.marker_color.txt     1   0.714286   0.357143   182   8.30449
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_252.marker_color.txt     1   1.25   0.233333   84   2.24142
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_258.marker_color.txt     1   0.888889   0.222222   181   8.99292
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_274.marker_color.txt     1   0.833333   0.35   84   3.58761
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_275.marker_color.txt     1   1.28571   0.220238   143   8.95882
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_276.marker_color.txt     1   1.2   0.508333   360   15.8228
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_279.marker_color.txt     1   0.7   0.571429   80   10.5242
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_293.marker_color.txt     1   0.846154   0.433566   124   3.70676
/media/lxf/8213-B4FE/7_5/take_away/signal_area/12/marker_all_96.marker_color.txt     1   0.705882   0.316176   200   11.1607
/media/lxf/8213-B4FE/7_5/take_away/signal_area/13/marker_all_122.marker_color.txt     1   0.625   0.184375   127   11.9145
/media/lxf/8213-B4FE/7_5/take_away/signal_area/13/marker_all_162.marker_color.txt     0   0.8125   0.182692   174   14.1232
/media/lxf/8213-B4FE/7_5/take_away/signal_area/13/marker_all_254.marker_color.txt     1   1.4   0.25   99   15.1144
/media/lxf/8213-B4FE/7_5/take_away/signal_area/13/marker_all_32.marker_color.txt     1   1.21429   0.17437   100   0
/media/lxf/8213-B4FE/7_5/take_away/signal_area/13/marker_all_76.marker_color.txt     0   1   0.445312   98   14.6956
/media/lxf/8213-B4FE/7_5/take_away/signal_area/14/marker_all_129.marker_color.txt     1   1.2   0.395833   120   8.69109
/media/lxf/8213-B4FE/7_5/take_away/signal_area/14/marker_all_166.marker_color.txt     1   1.45455   0.252841   90   6.50781
/media/lxf/8213-B4FE/7_5/take_away/signal_area/14/marker_all_249.marker_color.txt     0   1.28571   0.420635   92   5.94106
/media/lxf/8213-B4FE/7_5/take_away/signal_area/14/marker_all_257.marker_color.txt     1   1.21429   0.308824   147   7.16677
/media/lxf/8213-B4FE/7_5/take_away/signal_area/14/marker_all_259.marker_color.txt     1   0.8   0.425   105   11.206
/media/lxf/8213-B4FE/7_5/take_away/signal_area/14/marker_all_285.marker_color.txt     1   1.63636   0.330808   179   6.51664
/media/lxf/8213-B4FE/7_5/take_away/signal_area/14/marker_all_291.marker_color.txt     1   1   0.691358   147   18.3987
/media/lxf/8213-B4FE/7_5/take_away/signal_area/14/marker_all_309.marker_color.txt     1   1   0.322314   80   8.37582
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker14.marker_color.txt     1   1   0.180556   13   5.00769
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker21.marker_color.txt     0   1.2   0.2   76   11.4047
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker25.marker_color.txt     1   0.4   0.094   338   8.6198
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker41.marker_color.txt     0   0.454545   0.118182   66   11.9142
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker42.marker_color.txt     0   1.05   0.0285714   68   11.441
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker6.marker_color.txt     1   3   0.407407   35   13.8545
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker71.marker_color.txt     1   0.8   0.0796875   59   5.66615
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker74.marker_color.txt     1   1.27273   0.0844156   30   8.50936
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker75.marker_color.txt     1   2.42857   0.105042   82   11.4401
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker80.marker_color.txt     1   0.533333   0.075   19   6.11775
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker81.marker_color.txt     1   0.875   0.232143   26   5.40313
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker82.marker_color.txt     1   2.5   0.5   10   6.99524
/media/lxf/8213-B4FE/7_5/take_away/signal_area/2/marker_all_398.marker_color.txt     1   1.3   0.165385   85   8.65763
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker110.marker_color.txt     1   1.16667   0.130952   13   3.85141
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker112.marker_color.txt     1   1.375   0.176136   31   16.0681
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker12.marker_color.txt     1   0.5   0.131944   19   7.95969
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker14.marker_color.txt     1   1.11111   0.15   53   14.6772
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker150.marker_color.txt     0   0.888889   0.104167   15   5.76277
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker151.marker_color.txt     1   0.285714   0.205357   30   7.74901
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker152.marker_color.txt     1   0.666667   0.25   13   6.58475
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker156.marker_color.txt     1   3.5   0.178571   22   8.14586
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker158.marker_color.txt     0   1   0   3   5.2915
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker159.marker_color.txt     0   3.5   0.142857   24   8.2144
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker171.marker_color.txt     1   0.75   0.0648148   22   7.3386
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker172.marker_color.txt     1   1   0.163265   35   9.23666
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker173.marker_color.txt     1   1   0.28   37   5.78143
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker_all_352.marker_color.txt     1   1.4   0.253571   80   2.87038
/media/lxf/8213-B4FE/7_5/take_away/signal_area/3/marker_all_61.marker_color.txt     1   0.722222   0.0790598   118   11.5358
/media/lxf/8213-B4FE/7_5/take_away/signal_area/4/marker_all_0.marker_color.txt     1   1.08333   0.150641   121   8.82621
/media/lxf/8213-B4FE/7_5/take_away/signal_area/4/marker_all_193.marker_color.txt     1   1.09091   0.147727   94   9.65571
/media/lxf/8213-B4FE/7_5/take_away/signal_area/4/marker_all_267.marker_color.txt     1   0.888889   0.340278   92   11.2732
/media/lxf/8213-B4FE/7_5/take_away/signal_area/4/marker_all_386.marker_color.txt     1   1.33333   0.458333   89   9.05758
/media/lxf/8213-B4FE/7_5/take_away/signal_area/4/marker_all_431.marker_color.txt     0   0.866667   0.105128   139   11.6116
/media/lxf/8213-B4FE/7_5/take_away/signal_area/4/marker_all_567.marker_color.txt     0   0.761905   0.0877976   121   7.52817
/media/lxf/8213-B4FE/7_5/take_away/signal_area/4/marker_all_590.marker_color.txt     1   1.36364   0.20303   86   10.1424
/media/lxf/8213-B4FE/7_5/take_away/signal_area/5/marker_all_104.marker_color.txt     1   0.933333   0.161905   86   5.46643
/media/lxf/8213-B4FE/7_5/take_away/signal_area/5/marker_all_215.marker_color.txt     1   0.647059   0.168449   114   7.20289
/media/lxf/8213-B4FE/7_5/take_away/signal_area/5/marker_all_242.marker_color.txt     1   1.4   0.5   90   9.76999
/media/lxf/8213-B4FE/7_5/take_away/signal_area/5/marker_all_371.marker_color.txt     1   0.384615   0.446154   90   7.41834
/media/lxf/8213-B4FE/7_5/take_away/signal_area/5/marker_all_423.marker_color.txt     1   1.07692   0.14011   105   8.70632
/media/lxf/8213-B4FE/7_5/take_away/signal_area/5/marker_all_460.marker_color.txt     0   0.866667   0.105128   139   11.6116
/media/lxf/8213-B4FE/7_5/take_away/signal_area/5/marker_all_539.marker_color.txt     1   1.36364   0.212121   89   10.0047
/media/lxf/8213-B4FE/7_5/take_away/signal_area/6/marker_all_241.marker_color.txt     1   1.06667   0.19375   98   13.3122
/media/lxf/8213-B4FE/7_5/take_away/signal_area/6/marker_all_312.marker_color.txt     1   1   0.127219   80   8.73216
/media/lxf/8213-B4FE/7_5/take_away/signal_area/6/marker_all_351.marker_color.txt     0   0.857143   0.0892857   93   12.0045
/media/lxf/8213-B4FE/7_5/take_away/signal_area/6/marker_all_385.marker_color.txt     1   0.727273   0.329545   107   8.52831
/media/lxf/8213-B4FE/7_5/take_away/signal_area/7/marker_all_163.marker_color.txt     1   1.09091   0.147727   94   9.65571
/media/lxf/8213-B4FE/7_5/take_away/signal_area/7/marker_all_231.marker_color.txt     1   0.888889   0.340278   92   11.2732
/media/lxf/8213-B4FE/7_5/take_away/signal_area/7/marker_all_282.marker_color.txt     1   0.384615   0.446154   90   7.41834
/media/lxf/8213-B4FE/7_5/take_away/signal_area/7/marker_all_343.marker_color.txt     1   1.33333   0.458333   89   9.05758
/media/lxf/8213-B4FE/7_5/take_away/signal_area/7/marker_all_382.marker_color.txt     1   1.6   0.5125   139   11.6116
/media/lxf/8213-B4FE/7_5/take_away/signal_area/7/marker_all_389.marker_color.txt     1   1.14286   0.174107   95   11.6764
/media/lxf/8213-B4FE/7_5/take_away/signal_area/7/marker_all_534.marker_color.txt     0   0.761905   0.0877976   121   7.52817
/media/lxf/8213-B4FE/7_5/take_away/signal_area/7/marker_all_559.marker_color.txt     1   1.36364   0.20303   86   10.1424
/media/lxf/8213-B4FE/7_5/take_away/signal_area/7/marker_all_562.marker_color.txt     1   1.25   0.2625   87   7.64195
/media/lxf/8213-B4FE/7_5/take_away/signal_area/8/marker_all_268.marker_color.txt     1   1.28571   0.25   136   10.2545
/media/lxf/8213-B4FE/7_5/take_away/signal_area/8/marker_all_357.marker_color.txt     1   1.27273   0.188312   80   15.7
/media/lxf/8213-B4FE/7_5/take_away/signal_area/8/marker_all_367.marker_color.txt     0   0.923077   0.115385   95   14.9677
/media/lxf/8213-B4FE/7_5/take_away/signal_area/9/marker_all_291.marker_color.txt     1   1.125   0.225694   150   10.1248
/media/lxf/8213-B4FE/7_5/take_away/signal_area/9/marker_all_384.marker_color.txt     1   0.466667   0.266667   80   17.1818
/media/lxf/8213-B4FE/7_5/take_away/signal_area/9/marker_all_389.marker_color.txt     1   0.923077   0.246795   120   15.3765
/media/lxf/8213-B4FE/7_5/take_away/signal_area/9/marker_all_392.marker_color.txt     0   0.8   0.30625   87   12.5354
