name        y_n    ratio(x/y)    overlap_level    count    grey_std    overlap_all
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker1.marker_color.txt     1   0.3125   0.2125   34   7.7049    0.2125
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker118.marker_color.txt     0   0.277778   0.0242222   536   10.6174    0.00422393
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker2.marker_color.txt     1   0.157895   0.219298   25   4.89898    0.219298
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker214.marker_color.txt     1   0.25   0.29   74   10.3964    0.214493
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker215.marker_color.txt     1   0.944444   0.0735294   70   6.85224    0.00931966
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker293.marker_color.txt     1   0.6   0.275   33   5.51719    0.275
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker294.marker_color.txt     0   0.631579   0.0701754   51   5.3613    0.025
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker3.marker_color.txt     0   0.805556   0.0158046   192   8.45664    0.00368268
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker344.marker_color.txt     1   0.7   0.157143   23   14.6829    0.109524
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker345.marker_color.txt     1   0.625   0.159375   51   6.81613    0.159375
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker44.marker_color.txt     1   0.151515   0.236364   379   9.64076    0.00190537
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker5.marker_color.txt     1   0.857143   0.178571   24   3.33514    0.0261438
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker56.marker_color.txt     1   0.151515   0.236364   355   9.81713    0.0030816
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker96.marker_color.txt     1   0.321429   0.150794   148   10.1221    0.0389474
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker98.marker_color.txt     1   0.466667   0.390476   177   17.2894    0.0501701
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker_all_127.marker_color.txt     1   1   0.142578   83   9.89127    0.108073
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/15/marker_all_141.marker_color.txt     0   0.666667   0.132653   103   9.86654    0.029195
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker107.marker_color.txt     0   0.5   0.39   173   10.279    0.0127131
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker124.marker_color.txt     1   0.25   0.229938   220   22.3405    0.122222
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker143.marker_color.txt     1   0.26087   0.304348   84   7.83079    0.304348
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker144.marker_color.txt     0   0.85   0.0720588   113   20.0554    0.0334221
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker160.marker_color.txt     1   0.949153   0.0623487   2734   29.1293    0.0038179
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker168.marker_color.txt     1   0.380952   0.175595   76   8.40317    0.150794
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker180.marker_color.txt     1   0.392857   0.150974   111   17.4301    0.0869906
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker201.marker_color.txt     0   0.176471   0.0479303   192   8.41151    0.0135593
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker268.marker_color.txt     0   0.923077   0.173077   191   8.22811    0.0170536
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker28.marker_color.txt     0   0.321429   0.10119   100   8.55478    0.0574713
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker299.marker_color.txt     0   0.220339   0.0547588   266   7.11141    0.0120547
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker315.marker_color.txt     0   0.92   0.0365217   182   10.0897    0.0084232
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/16/marker_all_159.marker_color.txt     0   0.923077   0.137821   88   9.10223    0.0805861
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker0.marker_color.txt     0   0.5   0.39   148   10.874    0.016122
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker1.marker_color.txt     0   0.162791   0.0527409   810   11.6515    0.00350013
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker108.marker_color.txt     1   0.352941   0.284314   73   8.22301    0.193122
