
ImageName, app1, app2, Advantra, MOST, EnsembleNeuronTracerBasic, meanshift, TreMap, MST_Tracing, EnsembleNeuronTracerV2n, spanningtree, axis_analyzer, Rayshooting, smartTracing, simple, EnsembleNeuronTracerV2s, 
E:\result\0663_seg.v3dpbd\gold\1040_537_107_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1040_541_96_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1040_543_104_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1168_529_105_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1168_541_97_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1296_495_149_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1296_532_106_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1363_495_249_gold.tiff, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1424_494_147_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1424_537_200_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1470_622_203_gold.tiff, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1483_494_212_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1552_490_177_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1552_523_190_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1558_651_226_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
E:\result\0663_seg.v3dpbd\gold\1680_506_185_gold.tiff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
