,ImageName,app1,app2,snake,Advantra,MOST,EnsembleNeuronTracerBasic,Rollerball,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,LCMboost,nctuTW_GD,NeuroStalker,spanningtree,Cwlab_ver1,neutu_autotrace,axis_analyzer,nctuTW,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s,NeuronChaser,neutube
0,E:\result\0663_seg.v3dpbd\gold\1040_537_107_gold.tiff,-1,-1,-1.0,-1,0.42845082313212324,0.30357894736842106,-1.0,0.22466580422595947,-1,0.18615226639284144,0.0,-1.0,-1.0,-1,-1,0.2981906750173974,-1.0,-1.0,0.29342900302114805,-1.0,0.38605271938605273,-1.0,0.30357894736842106,-1.0,0.25387596899224807
1,E:\result\0663_seg.v3dpbd\gold\1040_541_96_gold.tiff,-1,-1,-1.0,-1,0.42845082313212324,0.30357894736842106,-1.0,0.22466580422595947,-1,0.18615226639284144,0.0,-1.0,-1.0,-1,-1,0.2981906750173974,-1.0,-1.0,0.29342900302114805,-1.0,0.38605271938605273,-1.0,0.30357894736842106,-1.0,0.25387596899224807
2,E:\result\0663_seg.v3dpbd\gold\1040_543_104_gold.tiff,-1,-1,-1.0,-1,0.42845082313212324,0.30357894736842106,-1.0,0.22466580422595947,-1,0.18615226639284144,0.0,-1.0,-1.0,-1,-1,0.2981906750173974,-1.0,-1.0,0.29342900302114805,-1.0,0.38605271938605273,-1.0,0.30357894736842106,-1.0,0.25387596899224807
3,E:\result\0663_seg.v3dpbd\gold\1168_529_105_gold.tiff,-1,-1,-1.0,-1,0.4707149009474591,0.2838044308632544,-1.0,0.37262521588946457,-1,0.30357142857142855,0.0,-1.0,-1.0,-1,-1,0.3149827963715984,-1.0,-1.0,0.29734848484848486,-1.0,0.3676421123444332,-1.0,0.2838044308632544,-1.0,0.3495558130552337
4,E:\result\0663_seg.v3dpbd\gold\1168_541_97_gold.tiff,-1,-1,-1.0,-1,0.4707149009474591,0.2838044308632544,-1.0,0.37262521588946457,-1,0.30357142857142855,0.0,-1.0,-1.0,-1,-1,0.3149827963715984,-1.0,-1.0,0.29734848484848486,-1.0,0.3676421123444332,-1.0,0.2838044308632544,-1.0,0.3495558130552337
5,E:\result\0663_seg.v3dpbd\gold\1296_495_149_gold.tiff,-1,-1,-1.0,-1,0.1144385026737968,0.12598721323805942,-1.0,0.2632821723730815,-1,0.1309654583180764,0.0,-1.0,-1.0,-1,-1,0.12268591151553185,-1.0,-1.0,0.13644646924829157,-1.0,0.19442252038937122,-1.0,0.12598721323805942,-1.0,0.15556882651537773
6,E:\result\0663_seg.v3dpbd\gold\1296_532_106_gold.tiff,-1,-1,-1.0,-1,0.1144385026737968,0.12598721323805942,-1.0,0.2632821723730815,-1,0.1309654583180764,0.0,-1.0,-1.0,-1,-1,0.12268591151553185,-1.0,-1.0,0.12422231439236832,-1.0,0.19442252038937122,-1.0,0.12598721323805942,-1.0,0.13553590010405828
7,E:\result\0663_seg.v3dpbd\gold\1363_495_249_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,0.0,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
8,E:\result\0663_seg.v3dpbd\gold\1424_494_147_gold.tiff,-1,-1,-1.0,-1,0.4460932768019382,0.16111467008327995,-1.0,0.2217741935483871,-1,0.18680621630193467,0.0,-1.0,-1.0,-1,-1,0.1790032438808611,-1.0,-1.0,0.28271271063033077,-1.0,0.3163440860215054,-1.0,0.16111467008327995,-1.0,0.35100025980774224
9,E:\result\0663_seg.v3dpbd\gold\1424_537_200_gold.tiff,-1,-1,-1.0,-1,0.44958096782914303,0.16505988898626936,-1.0,0.22199775533108868,-1,0.19714592903919462,0.0,-1.0,-1.0,-1,-1,0.18120260021668472,-1.0,-1.0,0.2925582276084075,-1.0,0.31440281030444966,-1.0,0.16505988898626936,-1.0,0.34649532710280373
10,E:\result\0663_seg.v3dpbd\gold\1470_622_203_gold.tiff,-1,-1,-1.0,-1,0.6543654365436543,0.4360687022900763,-1.0,0.43390357698289267,-1,0.4978461538461538,0.0,-1.0,-1.0,-1,-1,0.4360687022900763,-1.0,-1.0,0.6022530329289428,-1.0,0.5357751277683135,-1.0,0.4360687022900763,-1.0,0.586975149957155
11,E:\result\0663_seg.v3dpbd\gold\1483_494_212_gold.tiff,-1,-1,-1.0,-1,0.4218241042345277,0.24910941475826973,-1.0,0.32026997605051166,-1,0.3473046332533771,0.0,-1.0,-1.0,-1,-1,0.25493060628195763,-1.0,-1.0,0.3277000777000777,-1.0,0.42030436523828596,-1.0,0.24910941475826973,-1.0,0.434032827758155
12,E:\result\0663_seg.v3dpbd\gold\1552_490_177_gold.tiff,-1,-1,-1.0,-1,0.25435624394966116,0.2815782731232385,-1.0,0.33656783468104223,-1,0.391304347826087,0.0,-1.0,-1.0,-1,-1,0.28326947637292466,-1.0,-1.0,0.32152038193169297,-1.0,0.37731752129614166,-1.0,0.2815782731232385,-1.0,0.37922966162706984
13,E:\result\0663_seg.v3dpbd\gold\1552_523_190_gold.tiff,-1,-1,-1.0,-1,0.3210645526613817,0.3104908565928778,-1.0,0.36255307492124367,-1,0.4183815028901734,0.0,-1.0,-1.0,-1,-1,0.31169579412329557,-1.0,-1.0,0.36868612057472966,-1.0,0.40581093984449595,-1.0,0.3104908565928778,-1.0,0.41681184668989546
14,E:\result\0663_seg.v3dpbd\gold\1558_651_226_gold.tiff,-1,-1,-1.0,-1,0.39488636363636365,0.09868421052631579,-1.0,0.3893129770992366,-1,0.5365418894830659,0.0,-1.0,-1.0,-1,-1,0.09868421052631579,-1.0,-1.0,0.328125,-1.0,0.4925373134328358,-1.0,0.09868421052631579,-1.0,0.5413043478260869
