,ImageName,app1,app2,Advantra,MOST,EnsembleNeuronTracerBasic,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,spanningtree,axis_analyzer,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s
0,E:\result\0663_seg.v3dpbd\gold\1040_537_107_gold.tiff,-1,-1,-1,0.42845082313212324,0.30357894736842106,0.22466580422595947,-1,0.18615226639284144,0.0,-1,-1.0,-1.0,0.38605271938605273,-1.0,0.30357894736842106
1,E:\result\0663_seg.v3dpbd\gold\1040_541_96_gold.tiff,-1,-1,-1,0.42845082313212324,0.30357894736842106,0.22466580422595947,-1,0.18615226639284144,0.0,-1,-1.0,-1.0,0.38605271938605273,-1.0,0.30357894736842106
2,E:\result\0663_seg.v3dpbd\gold\1040_543_104_gold.tiff,-1,-1,-1,0.42845082313212324,0.30357894736842106,0.22466580422595947,-1,0.18615226639284144,0.0,-1,-1.0,-1.0,0.38605271938605273,-1.0,0.30357894736842106
3,E:\result\0663_seg.v3dpbd\gold\1168_529_105_gold.tiff,-1,-1,-1,0.4707149009474591,0.2838044308632544,0.37262521588946457,-1,0.30357142857142855,0.0,-1,-1.0,-1.0,0.3676421123444332,-1.0,0.2838044308632544
4,E:\result\0663_seg.v3dpbd\gold\1168_541_97_gold.tiff,-1,-1,-1,0.4707149009474591,0.2838044308632544,0.37262521588946457,-1,0.30357142857142855,0.0,-1,-1.0,-1.0,0.3676421123444332,-1.0,0.2838044308632544
5,E:\result\0663_seg.v3dpbd\gold\1296_495_149_gold.tiff,-1,-1,-1,0.1144385026737968,0.12598721323805942,0.2632821723730815,-1,0.1309654583180764,0.0,-1,-1.0,-1.0,0.19442252038937122,-1.0,0.12598721323805942
6,E:\result\0663_seg.v3dpbd\gold\1296_532_106_gold.tiff,-1,-1,-1,0.1144385026737968,0.12598721323805942,0.2632821723730815,-1,0.1309654583180764,0.0,-1,-1.0,-1.0,0.19442252038937122,-1.0,0.12598721323805942
7,E:\result\0663_seg.v3dpbd\gold\1363_495_249_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,-1.0,-1.0,0.0,-1.0,0.0
8,E:\result\0663_seg.v3dpbd\gold\1424_494_147_gold.tiff,-1,-1,-1,0.4460932768019382,0.16111467008327995,0.2217741935483871,-1,0.18680621630193467,0.0,-1,-1.0,-1.0,0.3163440860215054,-1.0,0.16111467008327995
9,E:\result\0663_seg.v3dpbd\gold\1424_537_200_gold.tiff,-1,-1,-1,0.44958096782914303,0.16505988898626936,0.22199775533108868,-1,0.19714592903919462,0.0,-1,-1.0,-1.0,0.31440281030444966,-1.0,0.16505988898626936
10,E:\result\0663_seg.v3dpbd\gold\1470_622_203_gold.tiff,-1,-1,-1,0.6543654365436543,0.4360687022900763,0.43390357698289267,-1,0.4978461538461538,0.0,-1,-1.0,-1.0,0.5357751277683135,-1.0,0.4360687022900763
11,E:\result\0663_seg.v3dpbd\gold\1483_494_212_gold.tiff,-1,-1,-1,0.4218241042345277,0.24910941475826973,0.32026997605051166,-1,0.3473046332533771,0.0,-1,-1.0,-1.0,0.42030436523828596,-1.0,0.24910941475826973
12,E:\result\0663_seg.v3dpbd\gold\1552_490_177_gold.tiff,-1,-1,-1,0.25435624394966116,0.2815782731232385,0.33656783468104223,-1,0.391304347826087,0.0,-1,-1.0,-1.0,0.37731752129614166,-1.0,0.2815782731232385
13,E:\result\0663_seg.v3dpbd\gold\1552_523_190_gold.tiff,-1,-1,-1,0.3210645526613817,0.3104908565928778,0.36255307492124367,-1,0.4183815028901734,0.0,-1,-1.0,-1.0,0.40581093984449595,-1.0,0.3104908565928778
14,E:\result\0663_seg.v3dpbd\gold\1558_651_226_gold.tiff,-1,-1,-1,0.39488636363636365,0.09868421052631579,0.3893129770992366,-1,0.5365418894830659,0.0,-1,-1.0,-1.0,0.4925373134328358,-1.0,0.09868421052631579
15,E:\result\0663_seg.v3dpbd\gold\1680_506_185_gold.tiff,-1,-1,-1,0.21028204212781149,0.28636226186876323,0.29990044798407167,-1,0.3565650280024891,0.0,-1,-1.0,-1.0,0.3053128689492326,-1.0,0.28636226186876323
16,E:\result\0663_seg.v3dpbd\gold\1808_460_189_gold.tiff,-1,-1,-1,0.0,0.0,0.5268022181146026,-1,0.46887966804979253,0.0,-1,-1.0,-1.0,0.53,-1.0,0.0
17,E:\result\0663_seg.v3dpbd\gold\400_462_141_gold.tiff,-1,-1,-1,0.09499136442141623,0.1824973319103522,0.291932059447983,-1,0.3897122929380994,0.0,-1,-1.0,-1.0,0.4237885462555066,-1.0,0.1824973319103522
18,E:\result\0663_seg.v3dpbd\gold\410_412_113_gold.tiff,-1,-1,-1,0.1330498177399757,0.1522633744855967,0.31007462686567167,-1,0.36059684995855207,0.0,-1,-1.0,-1.0,0.4143968871595331,-1.0,0.1522633744855967
19,E:\result\0663_seg.v3dpbd\gold\451_334_94_gold.tiff,-1,-1,-1,0.20134493670886075,0.07981018119068162,0.12157468159011965,-1,0.2751677852348993,0.0,-1,-1.0,-1.0,0.31422459893048127,-1.0,0.07981018119068162
20,E:\result\0663_seg.v3dpbd\gold\467_304_91_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,-1.0,-1.0,0.0,-1.0,0.0
21,E:\result\0663_seg.v3dpbd\gold\477_412_30_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.2761904761904762,0.0,-1,-1.0,-1.0,0.2911392405063291,-1.0,0.0
22,E:\result\0663_seg.v3dpbd\gold\483_432_125_gold.tiff,-1,-1,-1,0.1907006990733214,0.15314082386752428,0.2642522452167122,-1,0.3794892582083502,0.0,-1,-1.0,-1.0,0.40793982448809024,-1.0,0.15314082386752428
23,E:\result\0663_seg.v3dpbd\gold\501_518_104_gold.tiff,-1,-1,-1,0.25656493967352734,0.17283628779979146,0.2618378378378378,-1,0.405415786441329,0.0,-1,-1.0,-1.0,0.43522700261468983,-1.0,0.17283628779979146
24,E:\result\0663_seg.v3dpbd\gold\528_448_119_gold.tiff,-1,-1,-1,0.27408729069448257,0.1630848748639826,0.29637240886347394,-1,0.3775781090463549,0.0,-1,-1.0,-1.0,0.4215134961439589,-1.0,0.1630848748639826
25,E:\result\0663_seg.v3dpbd\gold\528_518_154_gold.tiff,-1,-1,-1,0.32630634671451,0.18183673469387754,0.31640876853642813,-1,0.3722429589412962,0.0,-1,-1.0,-1.0,0.43245469522240526,-1.0,0.18183673469387754
26,E:\result\0663_seg.v3dpbd\gold\538_390_125_gold.tiff,-1,-1,-1,0.20813857574924388,0.10786724031960664,0.21067106710671066,-1,0.35577309910151533,0.0,-1,-1.0,-1.0,0.37670500133725593,-1.0,0.10786724031960664
27,E:\result\0663_seg.v3dpbd\gold\605_526_127_gold.tiff,-1,-1,-1,0.32767722473604827,0.15581517458650565,0.28797804532577903,-1,0.35241410429961967,0.0,-1,-1.0,-1.0,0.43781738524345315,-1.0,0.15581517458650565
28,E:\result\0663_seg.v3dpbd\gold\611_398_128_gold.tiff,-1,-1,-1,0.24184100418410043,0.1610555050045496,0.2204574332909784,-1,0.36837713808927824,0.0,-1,-1.0,-1.0,0.40026362038664326,-1.0,0.1610555050045496
29,E:\result\0663_seg.v3dpbd\gold\643_654_187_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.3416289592760181,0.0,-1,-1.0,-1.0,0.26756756756756755,-1.0,0.0
30,E:\result\0663_seg.v3dpbd\gold\656_514_154_gold.tiff,-1,-1,-1,0.2852278255229447,0.12709916917093866,0.22004916105589398,-1,0.3286257020151966,0.0,-1,-1.0,-1.0,0.3809987480873557,-1.0,0.12709916917093866
