,ImageName,app1,app2,snake,Advantra,MOST,EnsembleNeuronTracerBasic,Rollerball,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,LCMboost,nctuTW_GD,NeuroStalker,spanningtree,Cwlab_ver1,neutu_autotrace,axis_analyzer,nctuTW,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s,NeuronChaser,neutube
0,E:\result\0663_seg.v3dpbd\gold\1040_537_107_gold.tiff,-1,-1,-1.0,-1,0.4370689655172414,0.3103448275862069,-1.0,0.22413793103448276,-1,0.5465517241379311,0.0,-1.0,-1.0,-1,-1,0.3689655172413793,-1.0,-1.0,0.33448275862068966,-1.0,0.4982758620689655,-1.0,0.3103448275862069,-1.0,0.39482758620689656
1,E:\result\0663_seg.v3dpbd\gold\1040_541_96_gold.tiff,-1,-1,-1.0,-1,0.4370689655172414,0.3103448275862069,-1.0,0.22413793103448276,-1,0.5465517241379311,0.0,-1.0,-1.0,-1,-1,0.3689655172413793,-1.0,-1.0,0.33448275862068966,-1.0,0.4982758620689655,-1.0,0.3103448275862069,-1.0,0.39482758620689656
2,E:\result\0663_seg.v3dpbd\gold\1040_543_104_gold.tiff,-1,-1,-1.0,-1,0.4370689655172414,0.3103448275862069,-1.0,0.22413793103448276,-1,0.5465517241379311,0.0,-1.0,-1.0,-1,-1,0.3689655172413793,-1.0,-1.0,0.33448275862068966,-1.0,0.4982758620689655,-1.0,0.3103448275862069,-1.0,0.39482758620689656
3,E:\result\0663_seg.v3dpbd\gold\1168_529_105_gold.tiff,-1,-1,-1.0,-1,0.47191011235955055,0.320656871218669,-1.0,0.37251512532411407,-1,0.6681071737251513,0.0,-1.0,-1.0,-1,-1,0.4347450302506482,-1.0,-1.0,0.3388072601555748,-1.0,0.47191011235955055,-1.0,0.320656871218669,-1.0,0.39066551426101986
4,E:\result\0663_seg.v3dpbd\gold\1168_541_97_gold.tiff,-1,-1,-1.0,-1,0.47191011235955055,0.320656871218669,-1.0,0.37251512532411407,-1,0.6681071737251513,0.0,-1.0,-1.0,-1,-1,0.4347450302506482,-1.0,-1.0,0.3388072601555748,-1.0,0.47191011235955055,-1.0,0.320656871218669,-1.0,0.39066551426101986
5,E:\result\0663_seg.v3dpbd\gold\1296_495_149_gold.tiff,-1,-1,-1.0,-1,0.13266998341625208,0.1384742951907131,-1.0,0.2769485903814262,-1,0.4444444444444444,0.0,-1.0,-1.0,-1,-1,0.16169154228855723,-1.0,-1.0,0.24792703150912107,-1.0,0.30597014925373134,-1.0,0.1384742951907131,-1.0,0.2155887230514096
6,E:\result\0663_seg.v3dpbd\gold\1296_532_106_gold.tiff,-1,-1,-1.0,-1,0.13266998341625208,0.1384742951907131,-1.0,0.2769485903814262,-1,0.4444444444444444,0.0,-1.0,-1.0,-1,-1,0.16169154228855723,-1.0,-1.0,0.24792703150912107,-1.0,0.30597014925373134,-1.0,0.1384742951907131,-1.0,0.2155887230514096
7,E:\result\0663_seg.v3dpbd\gold\1363_495_249_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,0.0,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
8,E:\result\0663_seg.v3dpbd\gold\1424_494_147_gold.tiff,-1,-1,-1.0,-1,0.4661177960734642,0.15896136795440152,-1.0,0.2609246358454718,-1,0.5592146928435718,0.0,-1.0,-1.0,-1,-1,0.19189360354654844,-1.0,-1.0,0.4300189993666878,-1.0,0.4654844838505383,-1.0,0.15896136795440152,-1.0,0.42748575047498416
9,E:\result\0663_seg.v3dpbd\gold\1424_537_200_gold.tiff,-1,-1,-1.0,-1,0.46321070234113715,0.15719063545150502,-1.0,0.2753623188405797,-1,0.5618729096989966,0.0,-1.0,-1.0,-1,-1,0.18617614269788182,-1.0,-1.0,0.43032329988851725,-1.0,0.44871794871794873,-1.0,0.15719063545150502,-1.0,0.41304347826086957
10,E:\result\0663_seg.v3dpbd\gold\1470_622_203_gold.tiff,-1,-1,-1.0,-1,0.6672794117647058,0.41911764705882354,-1.0,0.7683823529411765,-1,0.7426470588235294,0.0,-1.0,-1.0,-1,-1,0.41911764705882354,-1.0,-1.0,0.6378676470588235,-1.0,0.5772058823529411,-1.0,0.41911764705882354,-1.0,0.6286764705882353
11,E:\result\0663_seg.v3dpbd\gold\1483_494_212_gold.tiff,-1,-1,-1.0,-1,0.380352644836272,0.2052896725440806,-1.0,0.30856423173803527,-1,0.5772460117548279,0.0,-1.0,-1.0,-1,-1,0.21956339210747272,-1.0,-1.0,0.353904282115869,-1.0,0.44038623005877414,-1.0,0.2052896725440806,-1.0,0.43828715365239296
