,ImageName,app1,app2,Advantra,MOST,EnsembleNeuronTracerBasic,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,spanningtree,axis_analyzer,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s
0,E:\result\0663_seg.v3dpbd\gold\1040_537_107_gold.tiff,-1,-1,-1,0.4197019867549669,0.29654036243822074,0.22452504317789293,-1,0.11209335219236209,0.0,-1,-1.0,-1.0,0.3148148148148148,-1.0,0.29654036243822074
1,E:\result\0663_seg.v3dpbd\gold\1040_541_96_gold.tiff,-1,-1,-1,0.4197019867549669,0.29654036243822074,0.22452504317789293,-1,0.11209335219236209,0.0,-1,-1.0,-1.0,0.3148148148148148,-1.0,0.29654036243822074
2,E:\result\0663_seg.v3dpbd\gold\1040_543_104_gold.tiff,-1,-1,-1,0.4197019867549669,0.29654036243822074,0.22452504317789293,-1,0.11209335219236209,0.0,-1,-1.0,-1.0,0.3148148148148148,-1.0,0.29654036243822074
3,E:\result\0663_seg.v3dpbd\gold\1168_529_105_gold.tiff,-1,-1,-1,0.4690721649484536,0.2541095890410959,0.37219343696027635,-1,0.1962925342813611,0.0,-1,-1.0,-1.0,0.30082644628099175,-1.0,0.2541095890410959
4,E:\result\0663_seg.v3dpbd\gold\1168_541_97_gold.tiff,-1,-1,-1,0.4690721649484536,0.2541095890410959,0.37219343696027635,-1,0.1962925342813611,0.0,-1,-1.0,-1.0,0.30082644628099175,-1.0,0.2541095890410959
5,E:\result\0663_seg.v3dpbd\gold\1296_495_149_gold.tiff,-1,-1,-1,0.10012515644555695,0.11501377410468319,0.25037481259370314,-1,0.07672487832808474,0.0,-1,-1.0,-1.0,0.1422513492675405,-1.0,0.11501377410468319
6,E:\result\0663_seg.v3dpbd\gold\1296_532_106_gold.tiff,-1,-1,-1,0.10012515644555695,0.11501377410468319,0.25037481259370314,-1,0.07672487832808474,0.0,-1,-1.0,-1.0,0.1422513492675405,-1.0,0.11501377410468319
7,E:\result\0663_seg.v3dpbd\gold\1363_495_249_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,-1.0,-1.0,0.0,-1.0,0.0
8,E:\result\0663_seg.v3dpbd\gold\1424_494_147_gold.tiff,-1,-1,-1,0.4274099883855981,0.16277561608300908,0.1925233644859813,-1,0.11207005965224014,0.0,-1,-1.0,-1.0,0.23941368078175895,-1.0,0.16277561608300908
9,E:\result\0663_seg.v3dpbd\gold\1424_537_200_gold.tiff,-1,-1,-1,0.4364495798319328,0.1732186732186732,0.18571428571428572,-1,0.11948790896159317,0.0,-1,-1.0,-1.0,0.24181435866626613,-1.0,0.1732186732186732
10,E:\result\0663_seg.v3dpbd\gold\1470_622_203_gold.tiff,-1,-1,-1,0.6413427561837456,0.4532803180914513,0.3020231213872832,-1,0.37407407407407406,0.0,-1,-1.0,-1.0,0.49920508744038156,-1.0,0.4532803180914513
11,E:\result\0663_seg.v3dpbd\gold\1483_494_212_gold.tiff,-1,-1,-1,0.4731070496083551,0.3160956690368455,0.332579185520362,-1,0.24828457927049477,0.0,-1,-1.0,-1.0,0.40176177709689775,-1.0,0.3160956690368455
12,E:\result\0663_seg.v3dpbd\gold\1552_490_177_gold.tiff,-1,-1,-1,0.3793352601156069,0.4753246753246753,0.33226837060702874,-1,0.32431137724550896,0.0,-1,-1.0,-1.0,0.3485643717196666,-1.0,0.4753246753246753
13,E:\result\0663_seg.v3dpbd\gold\1552_523_190_gold.tiff,-1,-1,-1,0.4497354497354497,0.451035254616676,0.3398407397893655,-1,0.34509729111026327,0.0,-1,-1.0,-1.0,0.3790466479734897,-1.0,0.451035254616676
14,E:\result\0663_seg.v3dpbd\gold\1558_651_226_gold.tiff,-1,-1,-1,0.6216216216216216,0.10232558139534884,0.5,-1,0.46875,0.0,-1,-1.0,-1.0,0.5043859649122807,-1.0,0.10232558139534884
15,E:\result\0663_seg.v3dpbd\gold\1680_506_185_gold.tiff,-1,-1,-1,0.4421052631578947,0.4039282664389411,0.3198724760892667,-1,0.31992551210428305,0.0,-1,-1.0,-1.0,0.3077656026679371,-1.0,0.4039282664389411
16,E:\result\0663_seg.v3dpbd\gold\1808_460_189_gold.tiff,-1,-1,-1,0.0,0.0,0.6859903381642513,-1,0.43444730077120824,0.0,-1,-1.0,-1.0,0.505464480874317,-1.0,0.0
17,E:\result\0663_seg.v3dpbd\gold\400_462_141_gold.tiff,-1,-1,-1,0.75,0.21573604060913706,0.3433583959899749,-1,0.36920529801324503,0.0,-1,-1.0,-1.0,0.40540540540540543,-1.0,0.21573604060913706
18,E:\result\0663_seg.v3dpbd\gold\410_412_113_gold.tiff,-1,-1,-1,0.4144486692015209,0.2064676616915423,0.3199691595990748,-1,0.29159212880143115,0.0,-1,-1.0,-1.0,0.3363431151241535,-1.0,0.2064676616915423
19,E:\result\0663_seg.v3dpbd\gold\451_334_94_gold.tiff,-1,-1,-1,0.2522343594836147,0.11543287327478043,0.14672897196261683,-1,0.19905771495877503,0.0,-1,-1.0,-1.0,0.23272035510462905,-1.0,0.11543287327478043
20,E:\result\0663_seg.v3dpbd\gold\467_304_91_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,-1.0,-1.0,0.0,-1.0,0.0
21,E:\result\0663_seg.v3dpbd\gold\477_412_30_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.175,0.0,-1,-1.0,-1.0,0.2037037037037037,-1.0,0.0
22,E:\result\0663_seg.v3dpbd\gold\483_432_125_gold.tiff,-1,-1,-1,0.3566646378575776,0.1997141836370132,0.23587866108786612,-1,0.29896512073591414,0.0,-1,-1.0,-1.0,0.32720933351213627,-1.0,0.1997141836370132
23,E:\result\0663_seg.v3dpbd\gold\501_518_104_gold.tiff,-1,-1,-1,0.40155728587319245,0.17266562336984873,0.22357723577235772,-1,0.32086374695863745,0.0,-1,-1.0,-1.0,0.3999125874125874,-1.0,0.17266562336984873
