ImageName,   EnsembleNeuronTracerV2s,   EnsembleNeuronTracerV2n,   Advantra_updated,   MOST,   ENT_updated,  , 
E:\result1\080926a.tif.v3dpbd\gold\1000_590_43_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1000_683_46_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1018_1795_46_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1050_1067_47_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1056_808_44_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1058_1259_45_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1064_428_43_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1070_738_49_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1078_1643_46_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1079_1451_47_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1099_1000_48_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1099_930_49_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1100_1192_51_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1101_620_42_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1105_546_47_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1112_1835_49_gold.tiff, 0, 1, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1124_812_44_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1128_2005_49_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1137_1122_50_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1144_438_42_gold.tiff, 0, 0, 0, 1, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1147_1350_42_gold.tiff, 0, 0, 0, 0, 1,  , 
E:\result1\080926a.tif.v3dpbd\gold\1167_1052_48_gold.tiff, 0, 0, 1, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1192_630_38_gold.tiff, 1, 0, 0, 0, 0,  , 
E:\result1\080926a.tif.v3dpbd\gold\1197_1542_53_gold.tiff, 1, 0, 0, 0, 0,  , 
